Developer,Genre,Total_Global_Sales
Gust,Role-Playing,2.26
Techland,Shooter,2.26
Frontier Developments,Strategy,2.25
Namco Bandai Games,Sports,2.24
Acclaim,Shooter,2.24
Propaganda Games,Action,2.23
Ubisoft Toronto,Action,2.23
Capcom Vancouver,Action,2.22
Genuine Games,Action,2.21
Amaze Entertainment,Shooter,2.19
EA Bright Light,Misc,2.19
h.a.n.d. Inc.,Role-Playing,2.19
Jupiter Corporation,Puzzle,2.19
ZeniMax Media,Role-Playing,2.18
Clover Studio,Action,2.18
iNiS,Misc,2.18
Etranges Libellules,Platform,2.17
Beenox,Platform,2.17
HAL Labs,Role-Playing,2.15
LucasArts,Shooter,2.15
Firebrand Games,Racing,2.14
Sanzaru Games,Platform,2.14
Neversoft Entertainment,Shooter,2.14
Square Enix,Action,2.14
KCET,Simulation,2.13
Digital Eclipse,Action,2.13
Mercury Steam,Action,2.11
Ubisoft,Adventure,2.11
NanaOn-Sha,Misc,2.11
Farsight Studios,Misc,2.11
Konami Computer Entertainment Hawaii,Simulation,2.1
Surreal Software,Action,2.1
Helixe,Racing,2.1
Jellyvision,Misc,2.1
Ubisoft,Platform,2.08
Blue Planet Software,Puzzle,2.08
"Electronic Arts, Rebellion",Action,2.08
Virtuos,Role-Playing,2.07
Natsume,Action,2.06
SuperMassive Games,Adventure,2.05
"Red Storm Entertainment, Ubisoft Paris",Shooter,2.05
Bandai Namco Games,Fighting,2.04
High Voltage Software,Sports,2.03
United Front Games,Action,2.03
Big Huge Games,Role-Playing,2.02
Io Interactive,Shooter,2.02
Yuke's,Action,2.02
Vanillaware,Role-Playing,2.01
"Gearbox Software, 3D Realms",Shooter,2
Rockstar San Diego,Shooter,2
Nihilistic,Action,2
EA Bright Light,Puzzle,2
7 Studios,Action,1.99
Ubisoft Reflections,Racing,1.99
Art,Adventure,1.98
Slant Six,Action,1.98
Sega,Role-Playing,1.97
Savage Entertainment,Shooter,1.97
Check Six Games,Platform,1.97
Activision,Simulation,1.97
Remedy Entertainment,Action,1.97
Splash Damage,Shooter,1.96
Gaijin Entertainment,Simulation,1.96
"PLAYGROUND, Playground Games",Racing,1.96
"Flagship, HAL Labs",Platform,1.94
Blue Tongue Entertainment,Platform,1.93
Helixe,Platform,1.92
Secret Level,Action,1.92
Double Fine Productions,Action,1.91
Reality Pump,Role-Playing,1.9
MTO,Simulation,1.9
Game Republic,Action,1.89
Namco,Misc,1.88
K2 LLC,Action,1.88
Incognito Inc.,Racing,1.88
Papaya Studios,Misc,1.88
Namco Bandai Games,Racing,1.88
SCEE London Studio,Action,1.88
Rare Ltd.,Adventure,1.87
SCEI,Role-Playing,1.86
CD Projekt Red Studio,Action,1.86
Bethesda Softworks,Racing,1.86
505 Games,Simulation,1.85
Snowblind Studios,Action,1.85
Creative Assembly,Platform,1.83
Razorworks Studios,Racing,1.83
WayForward,Action,1.82
Ubisoft Shanghai,Shooter,1.82
Namco,Puzzle,1.82
Konami,Role-Playing,1.82
"Image Epoch, Imageepoch",Role-Playing,1.81
Marvelous Entertainment,Simulation,1.8
Torus Games,Racing,1.8
Melbourne House,Shooter,1.79
Endemol,Misc,1.79
"Sega, Sonic Team",Platform,1.79
Turtle Rock Studios,Shooter,1.79
Bandai Namco Games,Sports,1.78
Vicious Cycle,Shooter,1.78
Altron,Adventure,1.78
Team 17,Strategy,1.78
Tantalus Interactive,Racing,1.78
ImaginEngine,Misc,1.77
Radical Entertainment,Platform,1.77
Namco,Sports,1.76
Pitbull Syndicate,Racing,1.76
5TH Cell,Action,1.76
Sumo Digital,Racing,1.75
Realtime Worlds,Shooter,1.75
Acclaim Studios Austin,Sports,1.75
SCEE,Misc,1.74
"Ready at Dawn, SCE Santa Monica",Shooter,1.74
Exient Entertainment,Strategy,1.72
Acclaim,Sports,1.72
3d6 Games,Puzzle,1.71
"Epic Games, People Can Fly",Shooter,1.71
Coresoft,Misc,1.71
Bugbear,Racing,1.71
Pam Development,Action,1.71
Konami,Adventure,1.71
Hello Games,Action,1.7
Sports Interactive,Simulation,1.7
Slant Six,Shooter,1.69
Bizarre Creations,Shooter,1.69
"Pipeworks Software, Inc.",Fighting,1.68
Farsight Studios,Puzzle,1.68
h.a.n.d. Inc.,Sports,1.68
Cavia Inc.,Role-Playing,1.68
EA LA,Puzzle,1.67
TT Fusion,Misc,1.67
Black Lantern Studios,Simulation,1.67
Xpec,Action,1.67
Criterion Games,Shooter,1.67
Digital Kids,Simulation,1.66
Sega AM2,Adventure,1.65
Black Lantern Studios,Misc,1.65
Neko Entertainment,Simulation,1.65
Blitz Games,Platform,1.65
KCET,Role-Playing,1.64
Black Ops Entertainment,Action,1.64
Eurocom Entertainment Software,Platform,1.63
SCEI,Platform,1.63
n-Space,Adventure,1.63
2K Australia,Shooter,1.62
EA Seattle,Racing,1.62
Midway Studios - Austin,Shooter,1.62
Cat Daddy Games,Sports,1.62
Sega,Racing,1.62
"Namco Bandai Games America, Namco Bandai Games",Fighting,1.62
Frontier Developments,Simulation,1.62
HAL Labs,Racing,1.62
Behaviour Interactive,Action,1.61
Ubisoft Quebec,Strategy,1.61
HAL Labs,Action,1.6
KCET,Shooter,1.6
"Mistwalker, Artoon",Role-Playing,1.6
Ubisoft Shanghai,Strategy,1.59
Papaya Studios,Adventure,1.58
Midway,Shooter,1.58
Red Fly Studio,Action,1.58
Powerhead Games,Simulation,1.57
Steel Monkeys,Racing,1.57
Beenox,Misc,1.57
