Developer,Genre,Total_Global_Sales,Total_Global_Sales_By_Developer
Exient Entertainment,Racing,2.92,9.82
Bethesda Softworks,Role-Playing,7.83,9.69
Bethesda Softworks,Racing,1.86,9.69
Ready at Dawn,Platform,4.21,9.54
Ready at Dawn,Action,5.33,9.54
Creative Assembly,Action,1.24,9.46
Creative Assembly,Strategy,4,9.46
Creative Assembly,Shooter,2.39,9.46
Creative Assembly,Platform,1.83,9.46
Raven Software,Shooter,1.03,9.42
Raven Software,Role-Playing,8.39,9.42
Bluepoint Games,Action,7.9,9.26
Bluepoint Games,Shooter,1.36,9.26
Taito Corporation,Role-Playing,0.27,9.13
Taito Corporation,Fighting,0.1,9.13
Taito Corporation,Simulation,5.9,9.13
Taito Corporation,Puzzle,2.26,9.13
Taito Corporation,Shooter,0.53,9.13
Taito Corporation,Action,0.07,9.13
Camelot Software Planning,Sports,5.22,8.98
Camelot Software Planning,Role-Playing,3.76,8.98
Ubisoft Quebec,Shooter,0.06,8.94
Ubisoft Quebec,Sports,0.28,8.94
Ubisoft Quebec,Action,6.03,8.94
Ubisoft Quebec,Platform,0.13,8.94
Ubisoft Quebec,Misc,0.83,8.94
Ubisoft Quebec,Strategy,1.61,8.94
Cat Daddy Games,Sports,1.62,8.82
Cat Daddy Games,Misc,7.2,8.82
Climax Group,Shooter,0.45,8.77
Climax Group,Platform,0.3,8.77
Climax Group,Role-Playing,0.19,8.77
Climax Group,Action,1.33,8.77
Climax Group,Racing,6.43,8.77
Climax Group,Puzzle,0.07,8.77
Nintendo EAD Tokyo,Platform,7.51,8.7
Nintendo EAD Tokyo,Puzzle,1.19,8.7
Clap Hanz,Sports,8.61,8.61
Acclaim,Adventure,0.16,8.41
Acclaim,Fighting,1.38,8.41
Acclaim,Sports,1.72,8.41
Acclaim,Platform,0.16,8.41
Acclaim,Shooter,2.24,8.41
Acclaim,Racing,2.75,8.41
Kush Games,Sports,8.39,8.39
"SCE/WWS, Media Molecule",Platform,8.36,8.36
NetherRealm Studios,Fighting,8.34,8.34
989 Sports,Sports,8.29,8.29
Sports Interactive,Sports,6.56,8.26
Sports Interactive,Simulation,1.7,8.26
CD Projekt Red Studio,Role-Playing,6.38,8.24
CD Projekt Red Studio,Action,1.86,8.24
Stormfront Studios,Shooter,0.57,8.11
Stormfront Studios,Role-Playing,0.08,8.11
Stormfront Studios,Sports,0.74,8.11
Stormfront Studios,Action,6.72,8.11
Argonaut Games,Platform,0.59,8.09
Argonaut Games,Action,6.74,8.09
Argonaut Games,Shooter,0.65,8.09
Argonaut Games,Racing,0.11,8.09
Magic Pockets,Platform,0.03,8.08
Magic Pockets,Adventure,1.09,8.08
Magic Pockets,Action,1.23,8.08
Magic Pockets,Strategy,0.14,8.08
Magic Pockets,Role-Playing,0.03,8.08
Magic Pockets,Racing,0.12,8.08
Magic Pockets,Simulation,4.05,8.08
Magic Pockets,Sports,1.39,8.08
Crytek,Action,4.87,8.05
Crytek,Shooter,3.18,8.05
Double Helix Games,Strategy,0.12,8.03
Double Helix Games,Shooter,0.54,8.03
Double Helix Games,Action,7.37,8.03
"Ubisoft, Ubisoft Montreal",Action,8.01,8.01
Evolution Studios,Racing,7.92,7.92
Shiny Entertainment,Action,7.86,7.86
FUN Labs,Action,0.7,7.8
FUN Labs,Shooter,0.77,7.8
FUN Labs,Sports,6.33,7.8
SCE Japan Studio,Adventure,0.18,7.73
SCE Japan Studio,Misc,1.18,7.73
SCE Japan Studio,Platform,3.48,7.73
SCE Japan Studio,Action,2.89,7.73
Edge of Reality,Action,2.46,7.7
Edge of Reality,Platform,1.34,7.7
Edge of Reality,Simulation,3.68,7.7
Edge of Reality,Adventure,0.22,7.7
Atlus,Role-Playing,5.88,7.69
Atlus,Adventure,1.01,7.69
Atlus,Simulation,0.8,7.69
Spike,Sports,0.03,7.53
Spike,Role-Playing,0.29,7.53
Spike,Simulation,0.01,7.53
Spike,Action,0.06,7.53
Spike,Racing,0.26,7.53
Spike,Fighting,6.88,7.53
PlatinumGames,Shooter,1.39,7.5
PlatinumGames,Role-Playing,0.2,7.5
PlatinumGames,Action,5.91,7.5
Terminal Reality,Shooter,2.89,7.5
Terminal Reality,Action,3.54,7.5
Terminal Reality,Fighting,0.2,7.5
Terminal Reality,Misc,0.15,7.5
Terminal Reality,Racing,0.72,7.5
n-Space,Role-Playing,1.14,7.35
n-Space,Action,1.19,7.35
n-Space,Adventure,1.63,7.35
n-Space,Shooter,3.15,7.35
n-Space,Platform,0.24,7.35
Helixe,Platform,1.92,7.34
Helixe,Action,3.32,7.34
Helixe,Racing,2.1,7.34
Monolith Productions,Action,6.09,7.29
Monolith Productions,Shooter,1.2,7.29
Arc System Works,Adventure,0.1,7.08
Arc System Works,Misc,0.05,7.08
Arc System Works,Sports,0.19,7.08
Arc System Works,Action,0.28,7.08
Arc System Works,Fighting,6.46,7.08
Tri-Ace,Role-Playing,7.03,7.03
EA Montreal,Racing,0.83,7
EA Montreal,Shooter,4.61,7
EA Montreal,Sports,0.56,7
EA Montreal,Misc,1,7
WayForward,Role-Playing,0.05,6.93
WayForward,Platform,3.08,6.93
WayForward,Shooter,0.4,6.93
WayForward,Action,1.82,6.93
WayForward,Adventure,0.88,6.93
WayForward,Misc,0.7,6.93
"Ubisoft Paris, Ubisoft Montpellier",Misc,6.87,6.87
Exakt,Shooter,4.58,6.84
Exakt,Action,1.01,6.84
Exakt,Racing,1.12,6.84
Exakt,Fighting,0.13,6.84
Firaxis Games,Strategy,6.82,6.82
Beenox,Platform,2.17,6.7
Beenox,Misc,1.57,6.7
Beenox,Action,2.96,6.7
Frontier Developments,Strategy,2.25,6.64
Frontier Developments,Adventure,0.42,6.64
Frontier Developments,Misc,2.35,6.64
Frontier Developments,Simulation,1.62,6.64
Rockstar Toronto,Shooter,3.31,6.56
Rockstar Toronto,Action,3.25,6.56
Avalanche Studios,Action,6.55,6.55
Papaya Studios,Platform,1.16,6.52
Papaya Studios,Adventure,1.58,6.52
Papaya Studios,Fighting,0.1,6.52
Papaya Studios,Misc,1.88,6.52
Papaya Studios,Action,1.53,6.52
Papaya Studios,Sports,0.27,6.52
BudCat,Puzzle,0.45,6.46
BudCat,Action,0.03,6.46
BudCat,Platform,0.09,6.46
BudCat,Strategy,0.16,6.46
BudCat,Misc,4.12,6.46
BudCat,Sports,1.36,6.46
BudCat,Shooter,0.19,6.46
BudCat,Simulation,0.06,6.46
5TH Cell,Misc,0.14,6.45
5TH Cell,Puzzle,4.46,6.45
5TH Cell,Strategy,0.09,6.45
5TH Cell,Action,1.76,6.45
Massive Entertainment,Strategy,0.08,6.45
Massive Entertainment,Shooter,6.37,6.45
